Name,general_data_name,model_representation_fn_path,model_composition_fn_path,general_train_rule,general_date,train_valid_loss,train_test_accuracy,train_loss,train_test_loss,train_accuracy,train_valid_accuracy
supervised/supervised_logic_complete_201,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_33,2020-01-29 14:47,0.3051373288035393,0.7095568478107452,0.04706862773746252,1.4994613826274872,0.9890854775905608,0.9212351888418198
supervised/supervised_logic_complete_199,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_33,2020-01-29 14:46,0.034118521492928267,0.7089170217514038,0.009342214395292104,1.841651737689972,0.9990234375,0.9919854551553726
supervised/supervised_logic_complete_283,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_47,2020-01-29 15:39,0.07887427136301994,0.7078731209039688,0.02247177236713469,1.780889928340912,0.9943359375,0.9840719252824784
supervised/supervised_logic_complete_144,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_24,2020-01-29 14:08,0.07616194803267717,0.7060883641242981,0.021200275560840965,1.5405519008636477,0.9951171875,0.970198005437851
supervised/supervised_logic_complete_146,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_24,2020-01-29 14:19,0.09999852813780308,0.7041352391242981,0.033627694845199584,1.3583731651306152,0.9931870400905608,0.9679418057203292
supervised/supervised_logic_complete_118,comp_r10_n100_ov,codes.model.models.Param,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_19,2020-01-29 13:45,0.2423710823059082,0.7021147608757019,0.0997968390583992,1.2527838945388794,0.9754595577716828,0.922885239124298
supervised/supervised_logic_complete_215,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_35,2020-01-29 14:59,0.6939579918980598,0.7004310339689255,0.06505575804039836,2.643630027770996,0.9810546875,0.8496767282485962
supervised/supervised_logic_complete_295,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_49,2020-01-29 16:15,0.015904868952929974,0.7003636807203293,0.009572920762002468,1.2085647284984589,0.9978515625,0.9950161576271056
supervised/supervised_logic_complete_108,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_18,2020-01-29 13:45,0.06926527246832848,0.7000942826271057,0.06243983823806047,1.4750010073184967,0.9801470577716828,0.975080817937851
supervised/supervised_logic_complete_193,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_32,2020-01-29 14:45,0.011584172258153558,0.6999595910310745,0.006466507632285357,2.164072036743164,0.9982421875,0.9969692826271056
supervised/supervised_logic_complete_218,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_36,2020-01-29 15:03,0.04629278648644686,0.6982085108757019,0.01767014041543007,1.898407161235809,0.9974609375,0.9878771603107452
supervised/supervised_logic_complete_217,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_36,2020-01-29 15:00,0.045548999682068825,0.6982085108757019,0.010098802600987255,1.8334566950798037,0.998046875,0.9878771603107452
supervised/supervised_logic_complete_227,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_37,2020-01-29 15:07,0.2679881136864424,0.6979054361581802,0.03749047871679067,2.5531705617904663,0.9869370400905608,0.9369612038135527
supervised/supervised_logic_complete_198,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_33,2020-01-29 14:45,0.07746107131242752,0.6946726888418198,0.023643884481862183,1.518502950668335,0.99453125,0.9829943478107452
supervised/supervised_logic_complete_57,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_9,2020-01-29 15:32,0.35918128490448,0.6831559836864471,0.0733220934867859,1.867613136768341,0.983984375,0.8961139470338821
supervised/supervised_logic_complete_213,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_35,2020-01-29 14:57,0.4364272505044937,0.6803946644067764,0.06440376387909055,1.732889145612717,0.98671875,0.8680630326271057
supervised/supervised_logic_complete_110,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_18,2020-01-29 13:45,0.10715841688215733,0.6798558682203293,0.07520854566246271,1.5944578349590302,0.9744600176811218,0.9680428355932236
supervised/supervised_logic_complete_203,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_33,2020-01-29 14:47,0.3635367229580879,0.6794517785310745,0.03894142545759678,2.9260829091072083,0.9888671875,0.9249393790960312
supervised/supervised_logic_complete_191,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_31,2020-01-29 14:44,0.5925847738981247,0.6741648763418198,0.05447428394109011,4.199585437774658,0.9795381426811218,0.8671875
supervised/supervised_logic_complete_192,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_32,2020-01-29 14:44,0.010546038392931225,0.6736597567796707,0.012021938851103187,2.1599825620651245,0.99765625,0.9959927201271056
supervised/supervised_logic_complete_225,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_37,2020-01-29 15:04,0.2072145044803619,0.6732893288135529,0.03738499265164137,1.7772613167762756,0.993382352590561,0.9372642785310744
supervised/supervised_logic_complete_194,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_32,2020-01-29 14:45,0.02698703669011593,0.6707300692796707,0.01812160015106201,2.212274134159088,0.9947265625,0.9899313002824784
supervised/supervised_logic_complete_189,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_31,2020-01-29 14:43,0.3323959708213806,0.6691810339689255,0.05094049945473671,2.471731662750244,0.9877412676811218,0.904903009533882
supervised/supervised_logic_complete_202,comp_r10_n100_ov,codes.model.models.Param,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_33,2020-01-29 14:47,0.3707701712846756,0.6682044714689255,0.14908132515847683,1.3733903765678406,0.9576631426811218,0.8765826970338821
supervised/supervised_logic_complete_284,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_47,2020-01-29 15:39,0.0929743405431509,0.6667227894067764,0.05104105100035668,1.702379286289215,0.9857651650905608,0.9801656752824784
supervised/supervised_logic_complete_61,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_10,2020-01-29 16:11,0.09775705821812151,0.6634900271892548,0.04554065857082605,2.03885754942894,0.9853745400905608,0.9699959605932236
supervised/supervised_logic_complete_214,comp_r10_n100_ov,codes.model.models.Param,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_35,2020-01-29 14:59,0.47860898822546005,0.6620420217514038,0.2211336687207222,1.4642637073993685,0.9280905336141586,0.8325700461864471
supervised/supervised_logic_complete_200,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_33,2020-01-29 14:47,0.11767773702740668,0.6597858220338821,0.06304594613611698,1.6836343109607697,0.9828584551811218,0.9679418057203292
supervised/supervised_logic_complete_219,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_36,2020-01-29 15:03,0.3007231578230858,0.6590786576271057,0.08103155884891748,2.5239664912223816,0.9774126827716828,0.8977640122175217
supervised/supervised_logic_complete_147,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_24,2020-01-29 14:19,0.3968582898378372,0.6564520448446274,0.047261163126677275,2.523023545742035,0.9908203125,0.8879983872175217
supervised/supervised_logic_complete_60,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_10,2020-01-29 16:11,0.08601776883006096,0.65625,0.05507073709741235,2.055174618959427,0.9851792275905608,0.9698949307203292
supervised/supervised_logic_complete_301,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_50,2020-01-29 16:17,0.029966282192617655,0.6557112038135529,0.020984101854264737,1.6623488366603851,0.9959214150905608,0.9870016127824784
supervised/supervised_logic_complete_62,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_10,2020-01-29 16:31,0.11592447757720949,0.653825432062149,0.07659548753872514,2.0398781299591064,0.9765625,0.9598262310028076
supervised/supervised_logic_complete_302,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_50,2020-01-29 16:21,0.05205099657177925,0.6534550040960312,0.05895049385726451,1.6340162456035614,0.9830767452716828,0.9820177853107452
